Age,Gender,Married,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status
56,Female,Yes,Not Graduate,93012,3716,402819,0,Urban,0
38,Male,Yes,Graduate,29958,13427,217416,1,Semiurban,1
33,Female,No,Graduate,82001,28299,212481,1,Urban,1
44,Male,No,Graduate,62033,21834,166918,1,Urban,1
28,Female,Yes,Not Graduate,49848,29372,357164,1,Urban,1
26,Female,Yes,Graduate,67281,13977,276394,0,Semiurban,0
41,Male,No,Graduate,20394,30637,226601,1,Urban,1
26,Female,Yes,Graduate,90457,39272,356980,1,Urban,1
25,Male,No,Graduate,72145,30362,406442,1,Urban,1
46,Female,Yes,Graduate,58694,2878,456003,1,Urban,1
55,Female,Yes,Graduate,41158,39101,263834,0,Semiurban,0
26,Male,No,Not Graduate,21818,11882,99989,1,Urban,1
22,Male,No,Graduate,86951,16220,368246,1,Urban,1
41,Female,Yes,Graduate,83422,14385,177927,1,Urban,1
27,Female,No,Graduate,39697,25237,473125,1,Urban,1
49,Female,Yes,Not Graduate,11027,12228,404667,1,Urban,1
32,Female,Yes,Graduate,63699,35892,184941,0,Urban,1
37,Male,Yes,Graduate,48562,346,254245,0,Semiurban,0
46,Male,No,Graduate,44940,4611,422037,1,Urban,1
57,Female,Yes,Not Graduate,44415,10311,179387,0,Rural,1
43,Male,Yes,Graduate,12020,29592,165044,1,Rural,1
31,Female,Yes,Graduate,14079,21952,299609,1,Rural,1
44,Female,Yes,Not Graduate,44988,7767,278486,0,Semiurban,0
57,Male,Yes,Graduate,66005,11331,133597,1,Rural,1
28,Male,Yes,Graduate,97255,25377,343432,1,Urban,1
35,Male,Yes,Graduate,10404,13780,462736,1,Urban,1
51,Male,No,Not Graduate,19096,16634,275064,1,Urban,0
56,Female,Yes,Graduate,54183,19924,367347,1,Semiurban,1
38,Female,Yes,Not Graduate,62191,8494,259210,1,Urban,1
44,Male,Yes,Graduate,45609,24060,429626,1,Urban,1
30,Male,Yes,Graduate,86087,24393,357866,1,Semiurban,1
49,Male,Yes,Graduate,46415,23601,277325,1,Semiurban,1
22,Male,No,Graduate,47748,19635,134837,1,Urban,1
44,Male,Yes,Not Graduate,73447,37641,171999,1,Urban,1
31,Female,Yes,Graduate,60386,20941,310101,1,Urban,1
54,Male,No,Not Graduate,62256,32874,374968,1,Rural,1
38,Female,Yes,Graduate,85799,20805,387802,1,Rural,1
52,Male,Yes,Not Graduate,62228,25499,280769,1,Semiurban,1
39,Female,No,Graduate,53844,19517,237373,0,Semiurban,1
37,Male,Yes,Graduate,97322,28205,147159,0,Rural,1
56,Female,No,Graduate,84357,15530,68641,1,Urban,1
48,Male,Yes,Graduate,82925,2557,299176,1,Semiurban,1
52,Female,No,Graduate,82447,22317,385329,1,Rural,1
46,Female,No,Graduate,68498,39398,175556,1,Semiurban,1
33,Male,Yes,Graduate,80978,6231,371396,1,Semiurban,1
51,Male,Yes,Not Graduate,72952,31685,252806,1,Rural,1
58,Female,Yes,Graduate,80254,17560,125254,0,Urban,1
33,Female,No,Graduate,84846,34772,136074,1,Rural,1
52,Male,Yes,Graduate,28850,4658,379344,1,Rural,1
29,Female,No,Graduate,82945,15517,474750,1,Urban,1
54,Male,Yes,Not Graduate,71026,29677,121611,1,Urban,1
49,Male,Yes,Graduate,23419,21341,303159,1,Urban,1
52,Male,No,Graduate,96635,28752,128299,1,Urban,1
44,Female,No,Graduate,54180,20961,149851,1,Urban,1
59,Female,No,Not Graduate,38921,39757,309066,0,Urban,0
30,Male,Yes,Graduate,23125,34372,167664,1,Urban,1
33,Male,No,Graduate,91860,11495,263141,1,Urban,1
37,Male,Yes,Graduate,49227,13634,353599,0,Rural,0
29,Male,Yes,Not Graduate,36787,2274,196952,1,Urban,1
27,Male,Yes,Graduate,81438,31383,478981,1,Urban,1
48,Male,Yes,Not Graduate,23864,13304,310349,1,Semiurban,0
21,Male,No,Not Graduate,96196,11176,113364,1,Rural,1
28,Female,Yes,Graduate,89401,14582,368436,1,Rural,1
21,Male,Yes,Graduate,79545,19192,413653,0,Rural,0
24,Female,Yes,Not Graduate,44157,36901,405867,1,Semiurban,1
39,Female,No,Not Graduate,11721,23034,244794,1,Urban,1
21,Female,Yes,Graduate,34170,25524,368336,1,Urban,1
39,Male,No,Graduate,58864,5515,452453,1,Rural,1
34,Female,Yes,Not Graduate,57897,13074,116195,1,Urban,1
37,Female,Yes,Not Graduate,93204,4961,262972,1,Urban,1
42,Female,Yes,Graduate,53088,9319,263509,1,Semiurban,1
40,Female,Yes,Graduate,63023,14488,176547,1,Urban,1
44,Female,Yes,Not Graduate,12267,14626,135713,1,Semiurban,1
54,Female,No,Graduate,85214,35483,301440,1,Urban,1
50,Male,Yes,Not Graduate,27928,31545,156126,1,Urban,1
43,Male,Yes,Graduate,78152,36104,420554,1,Rural,1
25,Female,Yes,Graduate,49238,21867,396974,1,Rural,1
40,Female,Yes,Graduate,39523,31464,161753,1,Semiurban,1
34,Female,Yes,Graduate,86954,18471,108977,1,Urban,1
34,Female,Yes,Graduate,57747,13733,114886,1,Semiurban,1
55,Male,Yes,Graduate,92042,17498,330194,1,Semiurban,1
51,Male,Yes,Not Graduate,96183,25240,78762,1,Rural,1
24,Female,No,Graduate,23159,29442,458595,1,Urban,1
36,Male,Yes,Graduate,17616,11139,296667,1,Rural,1
51,Male,Yes,Not Graduate,89002,15408,239028,1,Urban,1
31,Female,Yes,Not Graduate,30280,36134,377406,1,Urban,1
21,Female,No,Graduate,74414,31596,190407,0,Rural,1
24,Male,Yes,Graduate,24601,5948,147431,1,Rural,1
39,Male,Yes,Not Graduate,71852,36243,248339,1,Rural,1
27,Female,Yes,Graduate,38051,22749,421038,1,Rural,1
30,Female,Yes,Not Graduate,11374,17082,497036,1,Urban,1
42,Female,Yes,Graduate,54341,31767,334154,1,Rural,1
53,Female,No,Graduate,69618,16840,96459,1,Rural,1
47,Female,No,Graduate,69371,39896,445434,0,Semiurban,0
57,Male,Yes,Graduate,45178,21607,264467,1,Urban,1
58,Male,No,Graduate,87069,10494,443460,1,Semiurban,1
24,Male,No,Not Graduate,82732,9940,189225,1,Rural,1
25,Male,Yes,Graduate,67736,15648,53743,1,Semiurban,1
37,Female,No,Graduate,54306,6613,142296,1,Semiurban,1
26,Female,No,Graduate,90988,574,254966,1,Rural,1
34,Male,Yes,Not Graduate,67604,38269,464733,1,Urban,1
42,Female,Yes,Graduate,46912,1849,112582,1,Urban,1
26,Female,No,Not Graduate,78348,34689,242743,1,Semiurban,1
57,Female,No,Graduate,21224,26160,158131,1,Semiurban,1
49,Female,No,Graduate,21348,15064,110706,1,Urban,1
41,Male,Yes,Graduate,94629,11801,406690,1,Urban,1
55,Female,Yes,Graduate,61915,33240,316990,1,Urban,1
59,Female,Yes,Graduate,45328,28614,81810,1,Rural,1
47,Female,Yes,Graduate,44094,33784,380696,1,Semiurban,1
50,Female,Yes,Not Graduate,41105,25051,289138,1,Rural,1
46,Female,Yes,Graduate,23130,20988,420181,0,Semiurban,0
25,Female,No,Graduate,98078,35767,392555,0,Rural,0
46,Male,No,Graduate,31221,28980,364483,1,Semiurban,1
30,Male,Yes,Graduate,12903,29102,359292,0,Urban,0
24,Male,Yes,Graduate,41050,13,381066,1,Rural,1
57,Male,No,Graduate,28988,22829,350931,1,Urban,1
25,Female,Yes,Not Graduate,23134,23138,369731,1,Semiurban,0
21,Female,No,Graduate,75337,13491,102786,1,Urban,1
52,Male,Yes,Graduate,13558,25404,198845,1,Semiurban,1
51,Female,Yes,Graduate,72710,9221,352438,1,Semiurban,1
29,Female,No,Graduate,64019,38992,366090,1,Rural,1
43,Male,Yes,Not Graduate,23195,22367,338233,1,Rural,0
42,Male,No,Not Graduate,70880,22235,93873,1,Urban,1
23,Male,Yes,Not Graduate,55985,977,322346,1,Urban,1
59,Male,Yes,Graduate,14140,28842,199942,1,Urban,1
54,Female,No,Not Graduate,22884,8564,460110,1,Rural,0
33,Male,No,Graduate,23329,27901,446491,1,Rural,0
37,Male,Yes,Graduate,71410,12597,311344,0,Rural,0
57,Female,No,Graduate,50240,5110,256346,0,Rural,0
27,Female,Yes,Graduate,94430,27631,127856,1,Urban,1
38,Female,Yes,Graduate,19962,6174,264769,0,Rural,0
48,Female,Yes,Graduate,45376,36771,136634,1,Semiurban,1
52,Male,Yes,Graduate,62407,32255,214091,1,Semiurban,1
22,Female,No,Graduate,83225,32814,74354,1,Semiurban,1
25,Female,Yes,Graduate,93053,34489,205696,1,Rural,1
35,Female,Yes,Graduate,28835,39320,323126,1,Semiurban,1
59,Male,No,Graduate,20899,15378,314933,1,Urban,1
31,Female,No,Not Graduate,35857,15493,81918,1,Rural,1
45,Male,No,Graduate,50896,19364,185812,1,Rural,1
47,Male,No,Not Graduate,73060,39348,352181,0,Urban,0
38,Female,Yes,Graduate,21831,13831,253406,1,Urban,1
40,Male,No,Graduate,43339,14444,424369,1,Semiurban,1
28,Male,No,Graduate,31384,32571,163409,1,Semiurban,1
49,Male,Yes,Not Graduate,14337,39787,301618,1,Semiurban,0
25,Female,Yes,Graduate,56830,22414,250147,1,Urban,1
47,Male,Yes,Graduate,50834,36172,259800,1,Urban,1
30,Male,Yes,Graduate,75330,22605,412071,1,Semiurban,1
21,Female,Yes,Graduate,32096,26348,323165,1,Urban,1
27,Female,Yes,Graduate,32839,5107,129057,1,Urban,1
50,Male,Yes,Graduate,27134,31492,183761,0,Rural,0
34,Female,No,Graduate,48247,36254,64688,1,Rural,1
48,Female,Yes,Graduate,69890,39990,69152,1,Semiurban,1
58,Male,No,Not Graduate,75891,4408,329392,1,Semiurban,1
46,Male,No,Graduate,54935,31238,261961,0,Urban,0
51,Female,Yes,Not Graduate,64188,37300,91385,1,Rural,1
51,Female,Yes,Not Graduate,69682,16363,220549,1,Rural,1
42,Male,Yes,Graduate,13587,29306,258181,1,Rural,1
47,Male,No,Graduate,21564,17963,288867,0,Urban,0
53,Female,Yes,Graduate,65024,20863,262156,1,Semiurban,1
33,Male,No,Graduate,89381,26723,404393,1,Rural,1
43,Female,No,Graduate,59626,14624,87997,1,Semiurban,1
42,Male,No,Not Graduate,93969,27025,87518,1,Urban,1
27,Female,Yes,Graduate,47364,12585,356996,1,Rural,1
40,Male,No,Not Graduate,13686,9587,192588,1,Rural,1
58,Female,Yes,Graduate,51123,21960,395288,1,Semiurban,1
52,Female,Yes,Not Graduate,89804,1901,350095,1,Semiurban,1
57,Male,Yes,Graduate,22553,18315,366971,1,Urban,1
23,Female,Yes,Graduate,93658,31676,362904,1,Urban,1
39,Male,No,Graduate,83157,6813,370272,1,Semiurban,1
49,Female,Yes,Graduate,91722,33072,431932,0,Rural,0
36,Female,Yes,Graduate,12494,16564,135714,1,Semiurban,1
58,Female,Yes,Not Graduate,76415,26324,190327,1,Semiurban,1
46,Female,Yes,Graduate,44181,20727,251228,1,Rural,1
34,Male,Yes,Graduate,31213,32591,482017,1,Urban,1
22,Male,No,Not Graduate,75722,15616,91684,0,Urban,1
47,Male,Yes,Not Graduate,16640,20603,171741,1,Urban,1
48,Male,Yes,Graduate,20752,13174,442274,1,Urban,1
37,Male,Yes,Graduate,63908,35064,389280,1,Urban,1
36,Male,Yes,Graduate,42013,5925,302838,1,Semiurban,1
28,Male,Yes,Graduate,53305,11147,313176,1,Urban,1
48,Female,No,Graduate,64394,6310,482487,0,Semiurban,0
24,Female,No,Not Graduate,33498,8799,112124,1,Urban,1
42,Male,Yes,Not Graduate,46721,36728,255262,1,Urban,1
50,Male,Yes,Not Graduate,39803,3402,75711,1,Semiurban,1
30,Male,No,Not Graduate,58830,28730,392249,1,Rural,1
42,Female,Yes,Graduate,60809,12871,495317,1,Rural,1
38,Male,Yes,Graduate,68813,21505,267929,1,Semiurban,1
35,Male,No,Graduate,75357,24782,413824,1,Semiurban,1
39,Female,Yes,Graduate,43780,20426,209432,1,Urban,1
53,Male,Yes,Graduate,11272,6811,481303,1,Urban,1
50,Female,No,Graduate,97157,34753,151384,1,Urban,1
39,Male,Yes,Graduate,59845,8668,139346,1,Semiurban,1
57,Male,Yes,Graduate,49736,17523,277269,0,Urban,1
22,Female,No,Not Graduate,37332,20456,265356,1,Urban,1
28,Female,No,Not Graduate,50767,21139,431977,1,Semiurban,1
42,Male,Yes,Graduate,95951,7999,255267,1,Semiurban,1
53,Female,No,Not Graduate,71378,6223,365210,1,Semiurban,1
35,Male,No,Graduate,50992,5504,136158,1,Urban,1
53,Male,Yes,Not Graduate,83011,16230,401466,1,Urban,1
21,Female,No,Graduate,36978,9063,396455,0,Urban,0
40,Male,Yes,Graduate,42804,35632,394707,1,Rural,1
33,Male,Yes,Graduate,59934,38421,271313,1,Semiurban,1
49,Female,Yes,Not Graduate,24427,29098,162065,0,Urban,0
41,Male,No,Graduate,24112,21994,198821,1,Rural,1
59,Male,Yes,Graduate,80909,5498,345490,1,Semiurban,1
23,Female,Yes,Graduate,19345,30179,230168,1,Semiurban,1
53,Female,No,Graduate,59430,36570,462671,1,Rural,1
32,Male,Yes,Graduate,82755,29547,144563,1,Urban,1
30,Male,No,Graduate,67139,1859,65688,1,Urban,1
34,Male,Yes,Not Graduate,88843,16475,443729,0,Semiurban,0
55,Female,Yes,Graduate,29096,9751,269809,0,Semiurban,0
23,Female,Yes,Graduate,10400,1207,251060,1,Rural,1
56,Female,Yes,Graduate,33296,26503,194517,1,Urban,1
31,Male,Yes,Graduate,13455,8529,229857,1,Rural,1
58,Male,Yes,Graduate,12548,37195,498294,1,Rural,1
37,Female,Yes,Graduate,27112,28727,213027,0,Urban,1
57,Female,Yes,Not Graduate,38955,32297,242176,1,Urban,1
29,Female,Yes,Graduate,39200,23646,343699,1,Rural,1
49,Female,No,Graduate,16787,17058,291175,0,Urban,0
56,Male,Yes,Graduate,64834,7665,185221,1,Urban,1
54,Male,Yes,Not Graduate,66749,8551,52464,1,Rural,1
25,Male,Yes,Graduate,19869,15074,181044,1,Rural,1
28,Female,Yes,Graduate,71145,6205,261729,1,Semiurban,1
44,Male,Yes,Graduate,74525,9606,298974,1,Urban,1
50,Male,Yes,Graduate,26191,25189,357869,1,Semiurban,1
32,Male,No,Not Graduate,34522,26715,380264,1,Urban,1
22,Male,Yes,Graduate,31531,11911,486023,1,Urban,1
39,Male,No,Graduate,96605,34535,176662,0,Rural,1
37,Female,Yes,Graduate,45025,38477,396909,0,Urban,1
24,Male,No,Graduate,82406,6161,454013,1,Urban,1
56,Female,Yes,Graduate,80050,35910,319500,1,Urban,1
22,Male,Yes,Not Graduate,92529,34464,113402,1,Urban,1
41,Female,No,Not Graduate,41021,39089,377451,0,Rural,0
22,Female,Yes,Graduate,92943,21606,309689,1,Urban,1
44,Male,No,Graduate,44607,7700,392505,1,Semiurban,1
31,Female,Yes,Graduate,75351,12710,473195,0,Urban,1
58,Female,Yes,Graduate,98128,24717,241027,0,Semiurban,1
51,Female,No,Not Graduate,30778,10622,499915,1,Semiurban,1
37,Male,Yes,Not Graduate,50423,10281,276251,1,Semiurban,1
29,Female,No,Graduate,93456,8287,188407,0,Semiurban,1
49,Female,Yes,Graduate,31717,5848,399672,1,Urban,1
52,Male,Yes,Not Graduate,94490,23907,275599,1,Rural,1
27,Male,No,Not Graduate,98034,10040,337197,0,Rural,0
24,Female,Yes,Graduate,63315,1003,62667,1,Rural,1
48,Female,Yes,Not Graduate,63802,4957,95356,1,Semiurban,1
41,Female,Yes,Graduate,35924,33017,82817,0,Urban,1
27,Male,No,Graduate,58505,9568,373373,1,Semiurban,1
57,Female,No,Graduate,76236,16843,286819,1,Rural,1
31,Male,Yes,Not Graduate,38856,34424,354802,1,Semiurban,1
52,Female,Yes,Graduate,71437,9054,307226,0,Semiurban,0
31,Female,Yes,Graduate,64066,10573,200359,1,Rural,1
48,Female,No,Graduate,34234,4058,112461,1,Rural,1
38,Male,Yes,Graduate,21363,5083,418116,1,Urban,1
23,Male,Yes,Graduate,52943,39542,358767,1,Semiurban,1
57,Female,Yes,Graduate,22148,6219,274554,1,Rural,1
27,Male,Yes,Graduate,12309,26163,183484,1,Rural,1
59,Male,No,Graduate,95272,8443,235639,1,Semiurban,1
53,Female,No,Graduate,24167,7307,330844,1,Semiurban,0
37,Male,Yes,Graduate,47600,19974,92100,1,Semiurban,1
41,Male,Yes,Graduate,39238,27927,100300,1,Urban,1
39,Male,Yes,Graduate,44005,36669,408145,0,Semiurban,0
43,Male,Yes,Graduate,10959,2418,265014,1,Urban,1
31,Male,Yes,Not Graduate,83618,4361,215455,1,Rural,1
37,Female,Yes,Graduate,65171,35054,360500,1,Rural,1
28,Male,No,Graduate,73990,19007,394905,0,Semiurban,0
41,Female,Yes,Graduate,51233,38816,188858,1,Semiurban,1
21,Female,No,Graduate,69602,9168,364122,1,Semiurban,1
36,Male,Yes,Graduate,95736,19894,264911,0,Urban,1
30,Female,Yes,Graduate,66785,18796,194889,1,Rural,1
38,Female,No,Graduate,35716,11855,363962,1,Rural,1
45,Female,No,Graduate,34381,1098,195147,0,Rural,1
53,Female,Yes,Not Graduate,79805,37540,234899,1,Rural,1
36,Female,Yes,Not Graduate,79764,26699,394425,1,Semiurban,1
31,Female,No,Graduate,95756,11808,51261,0,Urban,1
57,Male,No,Graduate,71207,27599,403546,1,Urban,1
33,Female,No,Graduate,96691,7766,266385,1,Urban,1
24,Female,No,Graduate,52411,5295,150394,1,Semiurban,1
48,Female,Yes,Graduate,43125,5897,425759,1,Semiurban,1
30,Female,Yes,Not Graduate,48421,17623,53936,1,Urban,1
44,Female,Yes,Not Graduate,20291,31609,264030,0,Semiurban,0
48,Male,No,Graduate,56754,7229,402384,1,Rural,1
45,Female,Yes,Not Graduate,92914,27964,196643,1,Semiurban,1
36,Female,Yes,Graduate,18007,37182,66148,1,Rural,1
58,Male,Yes,Graduate,63035,16935,198237,1,Semiurban,1
55,Male,No,Graduate,67441,16432,427136,1,Rural,1
58,Female,Yes,Graduate,56722,32958,343203,1,Urban,1
42,Male,Yes,Graduate,18245,1452,410513,1,Urban,1
51,Female,Yes,Graduate,42644,13563,187976,1,Rural,1
47,Female,Yes,Not Graduate,87418,3707,269925,0,Semiurban,0
56,Male,Yes,Not Graduate,33918,22664,356054,0,Semiurban,0
55,Male,No,Graduate,82848,13724,454882,1,Semiurban,1
36,Female,Yes,Graduate,47515,30430,470946,1,Urban,1
42,Male,Yes,Graduate,77341,37299,340606,1,Semiurban,1
38,Male,No,Graduate,80188,19660,483758,1,Urban,1
51,Female,Yes,Not Graduate,65126,16656,416891,1,Semiurban,1
32,Male,Yes,Graduate,97239,6170,133575,0,Urban,1
23,Female,Yes,Graduate,19703,16314,101715,1,Rural,1
26,Female,Yes,Not Graduate,58591,12751,220540,1,Urban,1
37,Female,Yes,Graduate,69320,36811,167577,1,Semiurban,1
50,Male,No,Graduate,88988,16861,463701,0,Semiurban,0
39,Male,No,Graduate,73713,4573,205684,1,Rural,1
42,Male,Yes,Graduate,96518,3440,404487,1,Urban,1
52,Female,Yes,Not Graduate,23070,25052,402826,0,Urban,0
37,Male,Yes,Graduate,32922,7547,290190,1,Rural,1
42,Male,Yes,Not Graduate,32917,10574,158708,1,Rural,1
22,Female,Yes,Not Graduate,56890,20670,148562,1,Semiurban,1
56,Female,No,Graduate,52119,20470,231259,0,Rural,1
28,Female,No,Graduate,37250,7414,488982,1,Semiurban,1
52,Male,Yes,Graduate,77056,3543,163965,1,Urban,1
39,Male,No,Graduate,95234,27861,367983,1,Rural,1
53,Male,Yes,Graduate,89179,32711,76284,1,Semiurban,1
47,Male,Yes,Graduate,23929,30290,469805,1,Urban,1
26,Female,Yes,Graduate,24607,21311,88386,1,Semiurban,1
22,Male,Yes,Graduate,73429,10416,408645,1,Urban,1
34,Female,Yes,Not Graduate,33140,1318,214708,1,Rural,1
40,Male,Yes,Graduate,96420,6553,467205,1,Urban,1
22,Female,No,Graduate,20464,27074,436164,1,Urban,1
50,Female,No,Graduate,65416,31930,371483,1,Urban,1
36,Female,Yes,Graduate,94232,1412,61927,1,Urban,1
40,Male,Yes,Graduate,96483,17417,445861,0,Semiurban,0
44,Female,Yes,Graduate,57872,16895,454195,1,Semiurban,1
23,Female,No,Graduate,81001,17789,337888,1,Urban,1
50,Female,Yes,Graduate,80809,29648,311549,1,Semiurban,1
35,Male,Yes,Graduate,44915,38662,494952,1,Rural,1
55,Male,Yes,Not Graduate,27103,17961,390939,0,Semiurban,0
56,Female,No,Not Graduate,71355,36270,278946,1,Urban,1
46,Male,No,Graduate,31378,5324,477824,1,Rural,1
28,Male,Yes,Graduate,56704,13773,126765,1,Semiurban,1
51,Male,Yes,Not Graduate,40499,15865,452712,1,Rural,1
57,Female,Yes,Graduate,84363,24439,97624,0,Semiurban,1
42,Male,Yes,Graduate,14227,2274,337933,1,Rural,1
37,Female,Yes,Not Graduate,11698,36668,425652,1,Rural,0
55,Female,Yes,Not Graduate,94613,21011,410590,1,Urban,1
53,Male,Yes,Not Graduate,50322,25372,361078,1,Semiurban,1
59,Female,Yes,Not Graduate,43999,16554,462712,0,Rural,0
31,Male,Yes,Graduate,11094,25377,348754,1,Urban,1
35,Female,No,Not Graduate,46224,8983,261083,1,Urban,1
44,Male,No,Graduate,19277,2748,311217,1,Rural,0
25,Female,Yes,Graduate,82765,13321,321801,1,Urban,1
25,Male,Yes,Not Graduate,33730,7966,308960,1,Urban,1
23,Male,No,Graduate,56210,12755,198583,1,Semiurban,1
37,Female,Yes,Graduate,88620,34348,320012,1,Rural,1
30,Female,Yes,Not Graduate,69425,26302,73308,1,Rural,1
30,Female,No,Graduate,69254,32023,132788,1,Rural,1
58,Female,Yes,Graduate,13306,9327,140278,0,Rural,0
55,Female,Yes,Graduate,91779,7680,337806,1,Urban,1
54,Male,Yes,Graduate,34577,33943,176934,0,Rural,1
43,Female,No,Graduate,49978,39507,311601,1,Urban,1
38,Female,Yes,Graduate,58466,3879,367526,1,Urban,1
39,Female,Yes,Not Graduate,24824,33103,210508,1,Urban,1
38,Male,Yes,Graduate,32451,1040,357315,0,Urban,1
56,Male,Yes,Graduate,28629,23970,212259,1,Urban,1
46,Female,Yes,Graduate,94157,2203,258650,0,Rural,0
28,Male,Yes,Graduate,42855,8354,251833,1,Urban,1
54,Male,Yes,Graduate,35122,33824,341339,0,Rural,0
43,Male,Yes,Graduate,56792,35288,125813,1,Semiurban,1
24,Female,Yes,Graduate,18832,10067,434978,1,Urban,1
41,Female,No,Graduate,14462,18064,112443,1,Urban,1
25,Male,No,Not Graduate,16384,35687,343961,1,Urban,0
56,Female,No,Graduate,56733,29853,186725,1,Semiurban,1
29,Female,Yes,Graduate,75618,35748,451038,0,Rural,0
22,Male,No,Not Graduate,51706,89,89740,0,Urban,1
24,Female,Yes,Not Graduate,72376,24029,276607,1,Rural,1
22,Male,Yes,Graduate,51750,23805,377587,1,Rural,1
50,Female,Yes,Graduate,79592,2033,365205,1,Urban,1
50,Female,Yes,Graduate,79896,27925,159330,0,Urban,1
42,Male,Yes,Not Graduate,65413,37615,342219,1,Rural,1
47,Male,Yes,Not Graduate,80061,34414,136623,1,Semiurban,1
27,Male,Yes,Graduate,87860,20070,473837,0,Rural,0
25,Female,No,Not Graduate,57782,7559,76929,0,Urban,1
41,Male,Yes,Not Graduate,21282,33822,274315,1,Urban,1
47,Male,Yes,Graduate,22786,34232,208378,1,Urban,1
57,Male,Yes,Not Graduate,42234,19978,252816,1,Urban,1
35,Female,Yes,Graduate,99324,35865,300329,1,Semiurban,1
33,Female,No,Graduate,95723,8253,86025,1,Urban,1
23,Female,Yes,Graduate,33835,15706,315363,0,Semiurban,0
43,Male,Yes,Graduate,43008,30208,494385,1,Rural,1
50,Male,Yes,Graduate,55543,10115,151147,1,Rural,1
51,Male,No,Graduate,14709,32206,478634,1,Urban,1
31,Female,Yes,Graduate,56830,25071,401489,1,Urban,1
42,Female,No,Not Graduate,99464,29618,192875,1,Urban,1
28,Male,No,Graduate,89062,39008,483555,1,Urban,1
31,Female,Yes,Graduate,11410,10060,156932,1,Rural,1
43,Male,Yes,Graduate,69140,21763,228539,1,Semiurban,1
41,Male,Yes,Graduate,78114,24955,383136,1,Semiurban,1
50,Female,Yes,Not Graduate,20676,30057,127631,1,Urban,1
26,Male,Yes,Graduate,15915,15215,328903,1,Rural,1
53,Female,Yes,Graduate,61757,17887,237156,1,Urban,1
51,Male,Yes,Graduate,78777,23390,365947,1,Urban,1
